sku,store,saledate,stype,total_quantity,total_amount,total_profit
8668,1609,"2004-08-12 00:00:00",P,1,59.000,35.00
8668,2009,"2005-01-28 00:00:00",P,1,20.650,-3.35
8701,507,"2005-08-06 00:00:00",P,1,29.480,8.48
8746,2502,"2005-08-16 00:00:00",P,1,32.830,9.33
8850,502,"2005-06-02 00:00:00",P,1,6.000,4.45
8960,2203,"2005-04-27 00:00:00",P,1,5.000,2.65
8960,2204,"2005-08-20 00:00:00",P,1,6.000,3.65
8960,2804,"2005-04-08 00:00:00",P,1,5.000,2.65
8960,5904,"2005-05-31 00:00:00",P,1,5.000,2.65
8960,6503,"2005-07-27 00:00:00",P,1,6.000,3.65
9019,204,"2005-06-03 00:00:00",P,1,34.000,21.50
9019,307,"2005-06-30 00:00:00",P,1,21.440,8.94
9019,4502,"2005-07-10 00:00:00",P,1,22.780,10.28
9019,4707,"2005-05-04 00:00:00",P,1,32.000,19.50
9035,802,"2005-04-29 00:00:00",P,1,22.500,12.00
9035,1202,"2005-03-17 00:00:00",P,1,30.000,19.50
9055,2203,"2005-03-18 00:00:00",P,1,50.000,30.00
9055,3103,"2005-07-11 00:00:00",P,1,50.000,30.00
9373,7707,"2005-08-07 00:00:00",P,1,14.740,8.14
9422,102,"2005-08-26 00:00:00",P,1,15.400,-0.60
9483,2409,"2005-08-02 00:00:00",P,1,39.500,29.50
9483,7304,"2005-06-02 00:00:00",P,1,39.500,29.50
9561,4804,"2005-08-08 00:00:00",P,1,34.990,14.84
9606,7403,"2005-06-09 00:00:00",P,1,39.990,19.24
9629,2609,"2005-08-05 00:00:00",P,1,32.000,18.50
9633,402,"2004-08-02 00:00:00",P,1,21.000,7.50
9633,402,"2005-07-19 00:00:00",P,1,22.500,9.00
9633,407,"2004-11-04 00:00:00",P,1,21.000,7.50
9633,504,"2005-06-24 00:00:00",P,1,21.000,7.50
9633,509,"2005-07-01 00:00:00",P,1,21.000,7.50
9633,609,"2004-12-27 00:00:00",P,1,21.000,7.50
9633,704,"2004-09-30 00:00:00",P,1,21.000,7.50
